timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
2026-04-20T10:02:07,self_healing_compiler,65a1fe14-6f40-4fc4-af7b-5d56d412b5e5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.3339824581053108,3.01090624656522e-06,9.015162843121018e-06,42.5,0.0,3.0,3.9420383051037785e-06,0.0,2.7822131911913553e-07,4.220259624222914e-06,0.0,India,IND,maharashtra,,,macOS-26.3.1-arm64-arm-64bit-Mach-O,3.14.2,3.2.6,8,Apple M2,0.0,,72.8856,19.0748,8.0,machine,0.0,0,0.0,0.0,N,1.0,0.0
2026-04-20T10:02:10,self_healing_compiler,2b1f94d4-42d5-4c07-acc9-7a331f1fd262,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.3315897081047296,1.6152147620473725e-08,4.8711245330244727e-08,42.5,0.0,3.0,3.83184279699991e-06,0.0,2.704409725265577e-07,4.102283769526468e-06,0.0,Canada,CAN,quebec,,,macOS-26.3.1-arm64-arm-64bit-Mach-O,3.14.2,3.2.6,8,Apple M2,0.0,,-71.2,46.8,8.0,machine,0.0,0,0.0,0.0,N,1.0,0.0
2026-04-20T10:02:11,self_healing_compiler,1e6d4a72-b09e-4201-9e2f-5d76de501ec2,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.3056461669038981,2.7555760822025258e-06,9.015575461376352e-06,42.5,0.0,3.0,3.6078004087256783e-06,0.0,2.545737500380104e-07,3.862374158763689e-06,0.0,India,IND,maharashtra,,,macOS-26.3.1-arm64-arm-64bit-Mach-O,3.14.2,3.2.6,8,Apple M2,0.0,,72.8856,19.0748,8.0,machine,0.0,0,0.0,0.0,N,1.0,0.0
2026-04-20T10:02:13,self_healing_compiler,945bbdc3-9c1f-4512-b633-5b9fa1e3cce7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.3107549578417092,2.801649133569088e-06,9.015621675121197e-06,42.5,0.0,3.0,3.668133183156089e-06,0.0,2.588196182235455e-07,3.926952801379634e-06,0.0,India,IND,maharashtra,,,macOS-26.3.1-arm64-arm-64bit-Mach-O,3.14.2,3.2.6,8,Apple M2,0.0,,72.8826,19.0728,8.0,machine,0.0,0,0.0,0.0,N,1.0,0.0
2026-04-20T10:02:15,self_healing_compiler,99b67de3-c40e-4ad6-8b4f-5c324dbeed7f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.3077238341793418,1.5309785409199443e-08,4.9751704966333176e-08,42.5,0.0,3.0,3.6320519724136432e-06,0.0,2.5629066008453573e-07,3.888342632498179e-06,0.0,Canada,CAN,quebec,,,macOS-26.3.1-arm64-arm-64bit-Mach-O,3.14.2,3.2.6,8,Apple M2,0.0,,-71.2,46.8,8.0,machine,0.0,0,0.0,0.0,N,1.0,0.0
2026-04-20T10:02:18,self_healing_compiler,40cc1255-ff71-49b1-8994-9ac8100e5b64,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.3194402500521391,2.8800205568968702e-06,9.015834906298729e-06,42.5,0.0,3.0,3.770699369164908e-06,0.0,2.6610333336672434e-07,4.0368027025316325e-06,0.0,India,IND,maharashtra,,,macOS-26.3.1-arm64-arm-64bit-Mach-O,3.14.2,3.2.6,8,Apple M2,0.0,,72.8826,19.0728,8.0,machine,0.0,0,0.0,0.0,N,1.0,0.0
2026-04-20T10:02:20,self_healing_compiler,fa6ef6ce-3b41-496c-b4ba-802749571b46,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.4401788748800754,3.968753090079575e-06,9.01622798495462e-06,42.5,0.0,3.0,5.196108036519339e-06,0.0,3.667248958178486e-07,5.562832932337188e-06,0.0,India,IND,maharashtra,,,macOS-26.3.1-arm64-arm-64bit-Mach-O,3.14.2,3.2.6,8,Apple M2,0.0,,72.8826,19.0728,8.0,machine,0.0,0,0.0,0.0,N,1.0,0.0
2026-04-20T10:02:21,self_healing_compiler,c1bdeec2-b3f0-473d-be14-0774d2ce8737,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.3188500418327749,2.8746691408537335e-06,9.015740202917685e-06,42.5,0.0,3.0,3.763714904683487e-06,0.0,2.6558694487903265e-07,4.02930184956252e-06,0.0,India,IND,maharashtra,,,macOS-26.3.1-arm64-arm-64bit-Mach-O,3.14.2,3.2.6,8,Apple M2,0.0,,72.8856,19.0748,8.0,machine,0.0,0,0.0,0.0,N,1.0,0.0
2026-04-20T10:02:23,self_healing_compiler,1af0f344-a9d3-4a2a-850f-afdfba844803,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.3120448340196162,2.81324905523905e-06,9.01552837456107e-06,42.5,0.0,3.0,3.683307266490172e-06,0.0,2.599046532607948e-07,3.943211919750967e-06,0.0,India,IND,maharashtra,,,macOS-26.3.1-arm64-arm-64bit-Mach-O,3.14.2,3.2.6,8,Apple M2,0.0,,72.8856,19.0748,8.0,machine,0.0,0,0.0,0.0,N,1.0,0.0
2026-04-20T10:02:23,self_healing_compiler,3e00ae63-ad39-4820-86a2-2cc8f2e98389,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,16.464279209030792,0.0001484509544663,9.016547434701313e-06,42.5,0.0,3.0,0.0001943615701259,0.0,1.3715838470379824e-05,0.0002080774085963,0.0,India,IND,maharashtra,,,macOS-26.3.1-arm64-arm-64bit-Mach-O,3.14.2,3.2.6,8,Apple M2,0.0,,72.8856,19.0748,8.0,machine,5.35625,0,79.44375,3.060382843017578,N,1.0,0.0
